"","first_name","last_name","nickname","height_inches","weight_lb","armspan_inches","stance","wins","losses","draws","total_fights","stance2"
"1","Tom","Aaron","",NA,155,NA,NA,5,3,0,8,NA
"2","Danny","Abbadi","The Assassin",71,155,NA,"Orthodox",4,6,0,10,"Orthodox"
"3","David","Abbott","Tank",72,265,NA,"Switch",10,15,0,25,"Mixed"
"4","Shamil","Abdurakhimov","Abrek",75,235,76,"Orthodox",20,5,0,25,"Orthodox"
"5","Hiroyuki","Abe","Abe Ani",66,145,NA,"Orthodox",8,15,3,26,"Orthodox"
"6","Daichi","Abe","",71,170,71,"Orthodox",6,2,0,8,"Orthodox"
"7","Papy","Abedi","Makambo",71,185,NA,"Southpaw",10,4,0,14,"Southpaw"
"8","Ricardo","Abreu","Demente",71,185,NA,"Orthodox",5,1,0,6,"Orthodox"
"9","Klidson","Abreu","White Bear",72,205,74,"Orthodox",15,4,0,19,"Orthodox"
"10","Daniel","Acacio","",68,180,NA,"Orthodox",30,18,0,48,"Orthodox"
"11","Scott","Adams","",72,225,NA,"Southpaw",8,1,0,9,"Southpaw"
"12","Juan","Adams","The Kraken",77,265,80,"Orthodox",5,3,0,8,"Orthodox"
"13","Anthony","Adams","Sugafoot",73,185,76,"Orthodox",8,2,0,10,"Orthodox"
"14","Zarrukh","Adashev","The Lion",65,125,65,"Southpaw",3,3,0,6,"Southpaw"
"15","Israel","Adesanya","The Last Stylebender",76,185,80,"Switch",20,1,0,21,"Mixed"
"16","Sam","Adkins","The Experience",75,225,NA,"Orthodox",7,20,2,29,"Orthodox"
"17","Nick","Agallar","",68,155,NA,"Orthodox",24,6,0,30,"Orthodox"
"18","Mariya","Agapova","",66,125,68,"Southpaw",9,2,0,11,"Southpaw"
"19","Marcelo","Aguiar","",70,170,NA,"Orthodox",2,3,1,6,"Orthodox"
"20","Fabio","Aguiar","",72,185,NA,NA,17,1,0,18,NA
"21","Edwin","Aguilar","Tigre",70,185,NA,NA,26,19,0,45,NA
"22","Jessica","Aguilar","Jag",63,115,63,"Orthodox",20,8,0,28,"Orthodox"
"23","Kevin","Aguilar","Angel of Death",67,155,73,"Orthodox",17,4,0,21,"Orthodox"
"24","Christian","Aguilera","The Beast",69,170,72,"Switch",14,7,0,21,"Mixed"
"25","Mike","Aina","Iron",69,155,NA,"Orthodox",14,6,1,21,"Orthodox"
"26","Hitomi","Akano","Girlfight Monster",64,135,NA,"Southpaw",18,10,0,28,"Southpaw"
"27","Omari","Akhmedov","Wolverine",72,185,73,"Orthodox",21,5,1,27,"Orthodox"
"28","Yoshihiro","Akiyama","",70,170,75,"Orthodox",14,6,0,20,"Orthodox"
"29","Rostem","Akman","",70,170,72,"Switch",6,2,0,8,"Mixed"
"30","Razak","Al-Hassan","",74,205,NA,"Orthodox",13,5,0,18,"Orthodox"
"31","Mostapha","Al-Turk","",74,245,77,"Orthodox",6,6,0,12,"Orthodox"
"32","Herdem","Alacabek","",74,205,75,"Orthodox",5,1,0,6,"Orthodox"
"33","Javi","Alanis","",66,135,NA,NA,0,4,0,4,NA
"34","Heili","Alateng","The Mongolian Knight",65,135,66,"Orthodox",14,8,1,23,"Orthodox"
"35","Amir","Albazi","The Prince",65,125,68,"Orthodox",14,1,0,15,"Orthodox"
"36","Brett","Albee","",NA,225,NA,NA,3,2,0,5,NA
"37","John","Albert","Prince",68,135,68,"Orthodox",6,5,0,11,"Orthodox"
"38","Junior","Albini","Baby",75,264,74,"Orthodox",14,6,0,20,"Orthodox"
"39","Wes","Albritton","",70,188,NA,"Orthodox",0,1,0,1,"Orthodox"
"40","Aleksandra","Albu","Stitch",62,115,63,"Orthodox",3,2,0,5,"Orthodox"
"41","Israel","Albuquerque","",NA,185,NA,"Orthodox",0,3,0,3,"Orthodox"
"42","Juan","Alcain","",NA,NA,NA,NA,1,2,0,3,NA
"43","Iuri","Alcantara","Marajo",69,135,71,"Southpaw",35,10,0,45,"Southpaw"
"44","Ildemar","Alcantara","Marajo",74,185,78,"Orthodox",21,11,0,32,"Orthodox"
"45","Alfonso","Alcarez","",63,145,NA,NA,1,3,1,5,NA
"46","Gilbert","Aldana","El Peligro",73,250,NA,"Orthodox",6,2,0,8,"Orthodox"
"47","Irene","Aldana","",69,135,68,"Orthodox",12,6,0,18,"Orthodox"
"48","Hector","Aldana","",71,170,72,"Orthodox",4,3,0,7,"Orthodox"
"49","Jose","Aldo","",67,135,70,"Orthodox",29,7,0,36,"Orthodox"
"50","JJ","Aldrich","",65,125,67,"Southpaw",8,4,0,12,"Southpaw"
"51","Jim","Alers","The Beast",69,145,71,"Orthodox",13,3,0,16,"Orthodox"
"52","John","Alessio","The Natural",70,155,72,"Orthodox",35,17,0,52,"Orthodox"
"53","Houston","Alexander","The Assassin",72,205,72,"Orthodox",17,15,1,33,"Orthodox"
"54","Kenneth","Alexander","The Machine",69,155,NA,"Orthodox",7,6,0,13,"Orthodox"
"55","Marcio","Alexandre Junior","Lyoto",72,185,75,"Southpaw",17,4,0,21,"Southpaw"
"56","Olaf","Alfonso","",74,170,NA,"Orthodox",8,12,0,20,"Orthodox"
"57","Pablo","Alfonso","The Hurricane",68,145,NA,NA,9,7,0,16,NA
"58","Levi","Alford","",NA,NA,NA,NA,1,7,0,8,NA
"59","Bill","Algeo","Senor Perfecto",72,145,73,"Switch",14,5,0,19,"Mixed"
"60","Royce","Alger","",70,199,NA,"Orthodox",3,2,0,5,"Orthodox"
"61","Amir","Aliakbari","",75,250,NA,NA,10,1,0,11,NA
"62","Sultan","Aliev","",71,170,74,"Orthodox",15,3,0,18,"Orthodox"
"63","John","Allan","",73,205,75,"Orthodox",13,6,0,19,"Orthodox"
"64","George","Allen","",74,205,NA,"Open Stance",13,19,2,34,"Mixed"
"65","Arnold","Allen","Almighty",68,145,70,"Southpaw",16,1,0,17,"Southpaw"
"66","Brendan","Allen","All In",74,185,75,"Orthodox",15,4,0,19,"Orthodox"
"67","Ben","Alloway","Blanco",71,170,76,"Orthodox",18,8,0,26,"Orthodox"
"68","Ricardo","Almeida","Big Dog",72,170,74,"Orthodox",13,5,0,18,"Orthodox"
"69","Magno","Almeida","",72,155,NA,NA,10,3,0,13,NA
"70","Thomas","Almeida","Thominhas",67,145,70,"Southpaw",22,4,0,26,"Southpaw"
"71","Ericka","Almeida","",66,115,NA,"Orthodox",7,3,0,10,"Orthodox"
"72","Estefani","Almeida","",64,125,NA,"Orthodox",7,3,0,10,"Orthodox"
"73","Mauricio","Alonso","",74,170,NA,NA,13,7,0,20,NA
"74","Sarah","Alpar","Too Sweet",64,135,63,"Southpaw",9,5,0,14,"Southpaw"
"75","Ali","AlQaisi","The Royal Fighter",66,135,68,"Orthodox",8,5,0,13,"Orthodox"
"76","Rico","Altamirano","",70,170,NA,NA,4,3,0,7,NA
"77","Mike","Altman","",70,185,NA,"Orthodox",1,4,0,5,"Orthodox"
"78","Sean","Alvarez","",72,235,NA,"Orthodox",4,3,0,7,"Orthodox"
"79","Eddie","Alvarez","",69,155,69,"Orthodox",29,6,0,35,"Orthodox"
"80","Jaime","Alvarez","",68,125,69,"Orthodox",6,1,0,7,"Orthodox"
"81","Joel","Alvarez","El Fenomeno",75,155,77,"Orthodox",18,2,0,20,"Orthodox"
"82","Thiago","Alves","Pitbull",69,170,70,"Orthodox",23,15,0,38,"Orthodox"
"83","Anthony","Alves","",NA,NA,NA,NA,1,4,0,5,NA
"84","Amilcar","Alves","",72,170,NA,"Southpaw",15,12,0,27,"Southpaw"
"85","Warlley","Alves","",71,170,72,"Orthodox",15,4,0,19,"Orthodox"
"86","Rafael","Alves","The Turn",68,145,68,"Orthodox",19,9,0,28,"Orthodox"
"87","Sam","Alvey","Smile'N",74,205,75,"Southpaw",33,14,1,48,"Southpaw"
"88","Andre","Amado","Dida",72,154,NA,"Orthodox",6,4,1,11,"Orthodox"
"89","Adlan","Amagov","Borz",74,170,76,"Orthodox",14,2,1,17,"Orthodox"
"90","Maiara","Amanajas dos Santos","",65,115,NA,"Southpaw",7,3,0,10,"Southpaw"
"91","Chris","Amarante","",NA,185,NA,NA,2,0,0,2,NA
"92","Jimmy","Ambriz","The Titan",74,315,NA,"Southpaw",17,21,1,39,"Southpaw"
"93","JJ","Ambrose","",70,170,NA,"Orthodox",28,7,0,35,"Orthodox"
"94","Alen","Amedovski","",70,185,74,"Orthodox",8,2,0,10,"Orthodox"
"95","Makwan","Amirkhani","Mr. Finland",70,145,72,"Southpaw",16,5,0,21,"Southpaw"
"96","Bertrand","Amoussou","",68,190,NA,"Orthodox",1,1,0,2,"Orthodox"
"97","Karl","Amoussou","The Psycho",71,185,NA,"Orthodox",27,7,2,36,"Orthodox"
"98","Eryk","Anders","Ya Boi",73,185,75,"Southpaw",13,5,0,18,"Southpaw"
"99","Matt","Andersen","",74,230,NA,"Southpaw",14,8,1,23,"Southpaw"
"100","Andy","Anderson","The Hammer",66,240,NA,NA,0,1,0,1,NA
"101","Lowell","Anderson","",66,160,NA,"Orthodox",0,1,0,1,"Orthodox"
"102","Corey","Anderson","Overtime",75,205,79,"Orthodox",14,5,0,19,"Orthodox"
"103","Derek","Anderson","Barbaric",72,155,NA,NA,14,3,0,17,NA
"104","Megan","Anderson","",72,145,72,"Orthodox",11,5,0,16,"Orthodox"
"105","Alex","Andrade","El Toro",71,200,NA,"Orthodox",10,5,0,15,"Orthodox"
"106","Jessica","Andrade","Bate Estaca",61,115,62,"Orthodox",21,8,0,29,"Orthodox"
"107","Viscardi","Andrade","",71,170,75,"Orthodox",19,6,0,25,"Orthodox"
"108","Jermaine","Andre","",67,200,NA,"Orthodox",14,4,0,18,"Orthodox"
"109","Dylan","Andrews","The Villain",73,185,74,"Switch",18,7,0,25,"Mixed"
"110","Reese","Andy","Riptide",72,205,NA,"Orthodox",7,3,0,10,"Orthodox"
"111","Julius","Anglickas","",75,205,NA,"Orthodox",5,1,0,6,"Orthodox"
"112","Collin","Anglin","",69,145,71,"Orthodox",8,1,0,9,"Orthodox"
"113","Yoji","Anjo","Mr. 200%",71,205,NA,"Orthodox",0,5,1,6,"Orthodox"
"114","Magomed","Ankalaev","",75,205,75,"Orthodox",15,1,0,16,"Orthodox"
"115","Nina","Ansaroff","",65,115,64,"Orthodox",10,6,0,16,"Orthodox"
"116","Gadzhimurad","Antigulov","",71,205,70,"Orthodox",20,8,0,28,"Orthodox"
"117","Adam","Antolin","Captain Chaos",65,125,63,"Orthodox",12,3,0,15,"Orthodox"
"118","Angelo","Antonio","",NA,205,NA,"Orthodox",1,4,0,5,"Orthodox"
"119","Azunna","Anyanwu","Zulu",73,251,NA,"Orthodox",14,5,0,19,"Orthodox"
"120","Shinsho","Anzai","Animal",67,170,70,"Orthodox",10,3,0,13,"Orthodox"
"121","Shinya","Aoki","Tobikan Judan",71,154,NA,"Southpaw",39,7,0,46,"Southpaw"
"122","Aori","Qileng","",67,125,NA,NA,15,6,0,21,NA
"123","Josh","Appelt","",70,255,NA,"Southpaw",15,7,0,22,"Southpaw"
"124","Erik","Apple","",72,170,NA,"Orthodox",10,3,0,13,"Orthodox"
"125","Kenji","Arai","",70,145,NA,"Southpaw",15,15,5,35,"Southpaw"
"126","Romie","Aram","",70,170,NA,"Orthodox",7,1,0,8,"Orthodox"
"127","Felipe","Arantes","Sertanejo",68,135,73,"Orthodox",18,10,1,29,"Orthodox"
"128","Igor","Araujo","",73,170,77,"Orthodox",25,9,0,34,"Orthodox"
"129","Viviane","Araujo","Vivi",64,125,68,"Orthodox",10,2,0,12,"Orthodox"
"130","Julio","Arce","",67,145,70,"Southpaw",16,4,0,20,"Southpaw"
"131","Art","Arciniega","King Arthur",68,145,NA,NA,15,7,0,22,NA
"132","Tristan","Arenal","",NA,155,NA,NA,7,4,0,11,NA
"133","Andrei","Arlovski","The Pitbull",75,240,77,"Orthodox",30,20,0,50,"Orthodox"
"134","Joey","Armstrong","",NA,NA,NA,NA,5,2,0,7,NA
"135","Austin","Arnett","",72,145,72,"Orthodox",16,6,0,22,"Orthodox"
"136","Ricardo","Arona","The Brazilian Tiger",71,205,NA,"Orthodox",14,5,0,19,"Orthodox"
"137","Chalid","Arrab","Die Faust",71,205,NA,"Orthodox",7,3,0,10,"Orthodox"
"138","Akbarh","Arreola","El Caballero",70,155,71,"Southpaw",23,11,1,35,"Southpaw"
"139","Matt","Arroyo","No Regard",70,170,72,"Orthodox",3,3,0,6,"Orthodox"
"140","Antonio","Arroyo","",75,185,73,"Orthodox",9,4,0,13,"Orthodox"
"141","Gilles","Arsene","",69,190,NA,"Southpaw",1,1,0,2,"Southpaw"
"142","Veta","Arteaga","",67,125,NA,NA,3,1,0,4,NA
"143","Cesar","Arzamendia","Goku",71,155,NA,"Orthodox",8,3,0,11,"Orthodox"
"144","Teddy","Ash","Bear",73,185,73,"Switch",14,5,0,19,"Mixed"
"145","Arman","Ashimov","Mustafa Ozturik",66,125,NA,NA,11,3,1,15,NA
"146","Askar","Askar","AK-47",67,145,69,"Orthodox",11,1,0,12,"Orthodox"
"147","Askar","Askarov","Bullet",66,125,67,"Orthodox",13,0,1,14,"Orthodox"
